iter	Passed	Remaining
717	26345	3008
718	26383	2972
719	26433	2937
720	26478	2901
721	26512	2864
722	26546	2827
723	26575	2789
724	26609	2752
725	26639	2715
726	26684	2679
727	26718	2642
728	26752	2605
729	26776	2567
730	26805	2530
731	26849	2494
732	26880	2456
733	26913	2420
734	26942	2382
735	26969	2345
736	26992	2307
737	27022	2270
738	27049	2232
739	27076	2195
740	27104	2158
741	27134	2121
742	27162	2083
743	27190	2046
744	27219	2009
745	27256	1973
746	27284	1935
747	27313	1898
748	27349	1862
749	27378	1825
750	27405	1788
751	27450	1752
752	27494	1716
753	27528	1679
754	27567	1643
755	27599	1606
756	27632	1569
757	27671	1533
758	27705	1496
759	27738	1459
760	27777	1423
761	27823	1387
762	27858	1350
763	27900	1314
764	27943	1278
765	28002	1242
766	28051	1206
767	28097	1170
768	28149	1134
769	28209	1099
770	28277	1063
771	28341	1027
772	28426	992
773	28500	957
774	28545	920
775	28574	883
776	28608	846
777	28661	810
778	28693	773
779	28724	736
780	28756	699
781	28795	662
782	28827	625
783	28855	588
784	28895	552
785	28937	515
786	29005	479
787	29056	442
788	29103	405
789	29151	369
790	29193	332
791	29233	295
792	29277	258
793	29356	221
794	29405	184
795	29458	148
796	29525	111
797	29581	74
798	29623	37
799	29662	0
